10151474083177592_10055626	النا جان سلام خوبی عزیزم خاله قربونت برم به همه سلام برسان بوس بوسسسسسسسسسسسسسسسسسسسسسس
10151453634962592_9961546	م٢رضظبغل
10151453634962592_9964763	حذير !!‼ يوم القيامه قريب .. والدليل الرساله إقرأها كامله ولا تهملها وإلا ستأثم .. وصية الرسول في منام الشي خ أحمد حامل مفاتيح حرم الرسول الكريم " بسم الله الرحمن الرحيم السلام عليكم ورحمة الله وبركاته " ...أقسم أن الرساله أستقبلها اليوم وأرجو أن تقرأوها كامله وتعملو بها ،، هذه الوصيه من المدينه المنوره ، من الشيخ احمد حامل مفاتيح حرم الرسول الكريم ( ص ) الى المسلمين من مشارق الأرض ومغاربها وإليكم... ....................­....الوصية : " يقول الشيخ أحمد أنه كان في ليله يقرأ فيها القرآن الكريم و هو في حرم المدينة الشريفة .. وفي تلك الليله غلبني النعاس ورأيت في منامي الرسول .. وأتى إلي وقال انه قد مات في هذا الأسبوع 40000 على غير ايمانهم .. وأنهم ماتو ميتة الجاهليه . وأن النساء لا يطعن أزواجهن . ويظهرن امام الرجال بزينتهن . من غير ستر ولا حجاب ، عاريات الجسد ، ويخرجن من بيوتهن من غير علم أزواجهن ، وأن الأغنياء من الناس لا يؤدون الزكاة ، ولا يحجون الى بيت الله الحرام ، ولا يساعدون الفقراء ، ولا ينهون عن المنكر ، وقال الرسول ( ص ) أبلغ الناس أن يوم القيامه قريب ، ستظهر في السماء نجمه ترونها واضحه ، وتقترب الشمس من رؤوسكم قراب قوسين أو أدنى ، بعد ذلك لا يقبل الله التوبه من أحد ، وستقفل أبواب السماء ، ويرفع القرآن من الأرض إلى السماء .. ويقول الشيخ أحمد أنه قد قال له الرسول الكريم ( ص ) في منامه أنه إذا قام أحد الناس بنشر هذه الوصية بين المسلمين فإنه سوف يحظى بشفاعتي يوم القيامه ويحصل على الخير الكثير والرزق الوفير ، ومن اطلع عليها ولم يعطها اهتمامآ بمعنى أن يقوم بتمزيقها او القائها او تجاهلها فقد أثم إثمآ كبيرآ ، ومن اطلع عليها ولم ينشرها فإنه يرمى من رحمة الله يوم القيامه .. ولهذا طلب مني المصطفى عليه الصلاة والسلام في المنام أن ابلغ احد المسؤولين من خدم الحرم الشريف أن القيامه قريبه ، فاستغفرو الله وتوبو اليه ، وحلمت يوم الإثنين أنه من قام بنشرها 30 ورقه من هذه الوصية بين المسلمين فإن الله يزيل عنه الهم والغم ويوسع عليه رزقه ويحل له مشاكله ويرزقه خلال 40 يوم تقريبآ ، وقد علمت ان احدهم قام بنشرها بثلاثين ورقه فرزقه الله 25 الفآ من المال ، كما قام احد بنشرها فرزقه الله 96 ألفآ من المال ، وأخبرت أن شخصآ كذب بالوصية ففقد ولده بنفس اليوم ، و هذه المعلومه لا شك فيها . فآمنو بالله واعملو صالحآ حتى يوفقنا الله في اعمالنا ويصلح لنا شأننا في الدنيا والآخره و يرحمنا برحمته " فاللذين آمنوا به و عززوه و نصروه واتبعو النور اللذي أنزل معه اولئك هم المفلحون " الأعراف 157 " لهم البشرى في الدنيا والآخره " يونس . " ويثبت الله اللذين آمنو بالقول الثابت في الدنيا والآخره ويضل الله الظالمين ويفعل الله ما يشاء " ابراهيم . علمآ أن الأمر ليس لعبآ ولهوآ أن ترسل نسخآ من هذه الوصية بعد 96 ساعه من قرائتك لها . وسبق أن وصلت هذه الوصية أحد رجال الأعمال فوزعها فورآ ومن ثم جاء له خبر نجاح صفقته التجارية ب 90 ألف زياده عن ما كان يتوقعه ، ثم وصلت أحد الأطباء فأهملها فلقي مصرعه في حادث سياره وأصبح جثه هامده تحدث عنها الجميع ، وغفلها أحد المقاولين فتوفي ابنه الكبير في بلد عربي شقيق... يرجى إرسال 25 نسخه منها ويبشرالمرسل بما يحصل له في اليوم الرابع اقسم بالله
10151459176355163_25510023	اخر اخبار الانترنت و التكنولوجيا و البرامج و شروحات تجدونها في مدونة محترف التكنولوجيا : http://ayoubprofessionel.blogspot.com/
10151450219560163_25418506	كل التعليقات بالانكليزي ولي
10151450219560163_25442820	هذا قديم بدنا شي جديد
10151428304222592_9872145	عاشق این فیلمم من
10200472102578255_5421881	Nassim Al Tayeb شوفيه بدالنا :(
10151417714262592_9796377	اووو هو فى منه جزء تانى
10151407826887592_9742671	كان كتير ممتع هالفيلم
10151404381412592_9721651	محمد على :D :D :D :D :D
10151404381412592_9733866	بقى صار في جزء ثاني
10151414564815163_25374587	Duaa Dhari انتي الي عرفتيني على اكنيس ,, شكد احبها :)
10151414564815163_25375866	تجنن اكنيس..وشعرها واسنانها يخبلون
10151398090192592_9824787	هما كام بارت الفيلم دا
10151404405045163_25061408	دست و جیغ و هـــــــــــــوووووووووووووووووررررررراااااااا
10151389928987592_9640968	فديت البنفسجي
10151378998702592_9497877	Ahmad Romih ي دي اللي طان الفاجر راكبها :D
10151373221772592_9454655	يا الله ما احلاهون
10151373221772592_9474478	ببی
10151315760852592_9063832	انیمیشن عالی
10151265607997592_25045931	احلا فلم
10151259154712592_8803982	عاشقشــــــــــــــــــــــــــــــــــــــــــــم
10151251799335163_24191647	واو عربي
10151210229107592_8665844	وای من عاشقتم!
10151210229107592_8693083	أنا احب هذا الفلم المضحك
10151196352667592_8639404	انتظرو موقعي الجديد تحليل الشخصية سليم 2013
10151167477412592_9338202	حتشوفيه والله
10151167531672592_8507789	فيلم جامد بحبة جدا
10151167466782592_8472984	عاشقشم
10151167466782592_9773989	حلاته
296638653785632_1322039	امر بسيط لن ياخذ منكم دقيقة اضغط جام لخوك الزاوالي و عش المغامارات و شكرا ♥ ♥http://www.facebook.com/pages/H%C3%A0dik_hiya_ghir_mat7irch/374852595916880?ref=hl
10150905247092592_7075917	كتير حلوة وبتجنن (بس كأنن صايرين عمالقة!!!!!!!!!!)
